gene_id	gene_name	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4
FBgn0000157	Dll	0	0	0	0
FBgn0000158	bam	0	0	0	0
FBgn0000163	baz	0	0	0	0
FBgn0000166	bcd	0	0	0	0
FBgn0000173	ben	0	0	0	0
FBgn0000179	bi	0	0	0	0
FBgn0000180	bib	0	0	0	0
FBgn0000181	bic	0	0	0	0
FBgn0000182	BicC	0	0	0	0
FBgn0000183	BicD	0	0	0	0
FBgn0000206	boss	0	0	0	0
FBgn0000210	br	0	0	0	0
FBgn0000212	brm	0	0	0	0
FBgn0000216	Brd	0	0	0	0
FBgn0000221	brn	0	0	0	0
FBgn0000227	Bsg25A	0	0	0	0
FBgn0000228	Bsg25D	0	0	0	0
FBgn0000229	bsk	0	0	0	0
FBgn0000233	btd	0	0	0	0
FBgn0000239	bur	0	0	0	0
FBgn0000241	bw	0	0	0	0
FBgn0000244	by	0	0	0	0
FBgn0000246	c(3)G	0	0	0	0
FBgn0000247	ca	0	0	0	0
FBgn0000250	cact	0	0	0	0
FBgn0000251	cad	0	0	0	0
FBgn0000253	Cam	0	0	0	0
FBgn0000256	capu	0	0	0	0
FBgn0000257	car	0	0	0	0
FBgn0000259	CkIIbeta	0	0	0	0
FBgn0000261	Cat	0	0	0	0
FBgn0000273	Pka-C1	0	0	0	0
FBgn0000274	Pka-C2	0	0	0	0
FBgn0000276	CecA1	0	0	0	0
FBgn0000277	CecA2	0	0	0	0
FBgn0000278	CecB	0	0	0	0
FBgn0000279	CecC	0	0	0	0
FBgn0000280	Cec-Psi1	0	0	0	0
FBgn0000281	Cec2	0	0	0	0
FBgn0000283	Cp190	0	0	0	0
FBgn0000286	Cf2	0	0	0	0
FBgn0000287	salr	0	0	0	0
FBgn0000289	cg	0	0	0	0
FBgn0000299	Cg25C	0	0	0	0
FBgn0000303	Cha	0	0	0	0
FBgn0000307	chif	0	0	0	0
FBgn0000308	chic	0	0	0	0
FBgn0000316	cin	0	0	0	0
FBgn0000317	ck	0	0	0	0
FBgn0000318	cl	0	0	0	0
FBgn0000319	Chc	0	0	0	0
FBgn0000320	eya	0	0	0	0
FBgn0000326	clt	0	0	0	0
FBgn0000330	cm	0	0	0	0
FBgn0000337	cn	0	0	0	0
FBgn0000339	cni	0	0	0	0
FBgn0000346	comt	0	0	0	0
FBgn0000351	cort	0	0	0	0
FBgn0000352	cos	0	0	0	0
FBgn0000355	Cp15	0	0	0	0
FBgn0000356	Cp16	0	0	0	0
FBgn0000357	Cp18	0	0	0	0
FBgn0000358	Cp19	0	0	0	0
FBgn0000359	Cp36	0	0	0	0
FBgn0000360	Cp38	0	0	0	0
FBgn0000370	crc	0	0	0	0
FBgn0000376	crm	0	0	0	0
FBgn0000377	crn	0	0	0	0
FBgn0000382	csw	0	0	0	0
FBgn0000384	cta	0	0	0	0
FBgn0000392	cup	0	0	0	0
FBgn0000394	cv	0	0	0	0
FBgn0000395	cv-2	0	0	0	0
FBgn0000404	CycA	0	0	0	0
FBgn0000405	CycB	0	0	0	0
FBgn0000406	Cyt-b5-r	0	0	0	0
FBgn0000409	Cyt-c-p	0	0	0	0
FBgn0000411	D	0	0	0	0
FBgn0000412	D1	0	0	0	0
FBgn0000413	da	0	0	0	0
FBgn0000414	Dab	0	0	0	0
FBgn0000416	Sap-r	0	0	0	0
FBgn0000422	Ddc	0	0	0	0
FBgn0000426	SmF	0	0	0	0
FBgn0000427	dec-1	0	0	0	0
FBgn0000439	Dfd	0	0	0	0
FBgn0000442	Pkg21D	0	0	0	0
FBgn0000447	Dhod	0	0	0	0
FBgn0000448	Hr46	0	0	0	0
FBgn0000449	dib	0	0	0	0
FBgn0000451	ect	0	0	0	0
FBgn0000454	Dip-B	0	0	0	0
FBgn0000455	Dip-C	0	0	0	0
FBgn0000459	disco	0	0	0	0
FBgn0000463	Dl	0	0	0	0
FBgn0000464	Lar	0	0	0	0
FBgn0000473	Cyp6a2	0	0	0	0
FBgn0000477	DNaseII	0	0	0	0
FBgn0000479	dnc	0	0	0	0
FBgn0000482	dor	0	0	0	0
FBgn0000489	Pka-C3	0	0	0	0
FBgn0000490	dpp	0	0	0	0
FBgn0000492	Dr	0	0	0	0
FBgn0000497	ds	0	0	0	0
FBgn0000499	dsh	0	0	0	0
FBgn0000500	Dsk	0	0	0	0
FBgn0000504	dsx	0	0	0	0
FBgn0000520	dwg	0	0	0	0
FBgn0000524	dx	0	0	0	0
FBgn0000527	e	0	0	0	0
FBgn0000529	bsh	0	0	0	0
FBgn0000533	ea	0	0	0	0
FBgn0000535	eag	0	0	0	0
FBgn0000536	eas	0	0	0	0
FBgn0000541	E(bx)	0	0	0	0
FBgn0000542	ec	0	0	0	0
FBgn0000543	ecd	0	0	0	0
FBgn0000546	EcR	0	0	0	0
FBgn0000547	ed	0	0	0	0
FBgn0000551	Edg78E	0	0	0	0
FBgn0000552	Edg84A	0	0	0	0
FBgn0000556	Ef1alpha48D	0	0	0	0
FBgn0000557	Ef1alpha100E	0	0	0	0
FBgn0000559	EF2	0	0	0	0
FBgn0000560	eg	0	0	0	0
FBgn0000562	egl	0	0	0	0
FBgn0000564	Eh	0	0	0	0
FBgn0000565	Eip71CD	0	0	0	0
FBgn0000566	Eip55E	0	0	0	0
FBgn0000567	Eip74EF	0	0	0	0
FBgn0000568	Eip75B	0	0	0	0
FBgn0000575	emc	0	0	0	0
FBgn0000576	ems	0	0	0	0
FBgn0000577	en	0	0	0	0
FBgn0000578	ena	0	0	0	0
FBgn0000579	Eno	0	0	0	0
FBgn0000581	E(Pc)	0	0	0	0
FBgn0000588	esc	0	0	0	0
FBgn0000591	E(spl)m8-HLH	0	0	0	0
FBgn0000592	Est-6	0	0	0	0
FBgn0000594	Est-P	0	0	0	0
FBgn0000606	eve	0	0	0	0
FBgn0000611	exd	0	0	0	0
FBgn0000615	exu	0	0	0	0
FBgn0000617	e(y)1	0	0	0	0
FBgn0000618	e(y)2	0	0	0	0
FBgn0000625	eyg	0	0	0	0
FBgn0000629	E(z)	0	0	0	0
FBgn0000633	fas	0	0	0	0
FBgn0000635	Fas2	0	0	0	0
FBgn0000636	Fas3	0	0	0	0
FBgn0000639	Fbp1	0	0	0	0
FBgn0000640	Fbp2	0	0	0	0
FBgn0000644	Fcp3C	0	0	0	0
FBgn0000658	fj	0	0	0	0
FBgn0000659	fkh	0	0	0	0
FBgn0000662	fl(2)d	0	0	0	0
FBgn0000667	Actn	0	0	0	0
FBgn0000709	fliI	0	0	0	0
FBgn0000711	flw	0	0	0	0
FBgn0000715	FMRFa	0	0	0	0
FBgn0000719	fog	0	0	0	0
FBgn0000721	for	0	0	0	0
FBgn0000723	FER	0	0	0	0
FBgn0000808	gd	0	0	0	0
FBgn0000810	fs(1)K10	0	0	0	0
FBgn0000826	png	0	0	0	0
FBgn0000927	fs(1)Ya	0	0	0	0
FBgn0000928	fs(1)Yb	0	0	0	0
FBgn0000964	tj	0	0	0	0
FBgn0000996	dup	0	0	0	0
FBgn0001075	ft	0	0	0	0
FBgn0001077	ftz	0	0	0	0
FBgn0001078	ftz-f1	0	0	0	0
FBgn0001079	fu	0	0	0	0
FBgn0001083	fw	0	0	0	0
FBgn0001084	fy	0	0	0	0
FBgn0001085	fz	0	0	0	0
FBgn0001086	fzy	0	0	0	0
FBgn0001087	g	0	0	0	0
FBgn0001089	Gal	0	0	0	0
FBgn0001090	bnb	0	0	0	0
FBgn0001091	Gapdh1	0	0	0	0
FBgn0001092	Gapdh2	0	0	0	0
FBgn0001098	Gdh	0	0	0	0
FBgn0001099	gdl	0	0	0	0
FBgn0001104	Galphai	0	0	0	0
FBgn0001105	Gbeta13F	0	0	0	0
FBgn0001108	Gl	0	0	0	0
FBgn0001112	Gld	0	0	0	0
FBgn0001114	Glt	0	0	0	0
FBgn0001120	gnu	0	0	0	0
FBgn0001122	Galphao	0	0	0	0
FBgn0001123	Galphas	0	0	0	0
FBgn0001124	Got1	0	0	0	0
FBgn0001125	Got2	0	0	0	0
FBgn0001128	Gpdh	0	0	0	0
FBgn0001133	grau	0	0	0	0
FBgn0001134	Grd	0	0	0	0
FBgn0001137	grk	0	0	0	0
FBgn0001138	grn	0	0	0	0
FBgn0001139	gro	0	0	0	0
FBgn0001142	Gs1	0	0	0	0
FBgn0001145	Gs2	0	0	0	0
FBgn0001147	gsb-n	0	0	0	0
FBgn0001148	gsb	0	0	0	0
FBgn0001149	GstD1	0	0	0	0
FBgn0001150	gt	0	0	0	0
FBgn0001168	h	0	0	0	0
FBgn0001169	H	0	0	0	0
FBgn0001170	H2.0	0	0	0	0
FBgn0001174	halo	0	0	0	0
FBgn0001179	hay	0	0	0	0
FBgn0001180	hb	0	0	0	0
FBgn0001185	her	0	0	0	0
FBgn0001186	Hex-A	0	0	0	0
FBgn0001187	Hex-C	0	0	0	0
FBgn0001189	hfw	0	0	0	0
FBgn0001197	His2Av	0	0	0	0
FBgn0001202	hk	0	0	0	0
FBgn0001206	Hmr	0	0	0	0
FBgn0001208	Hn	0	0	0	0
FBgn0001215	Hrb98DE	0	0	0	0
FBgn0001216	Hsc70-1	0	0	0	0
FBgn0001217	Hsc70-2	0	0	0	0
FBgn0001218	Hsc70-3	0	0	0	0
FBgn0001220	Hsc70-5	0	0	0	0
FBgn0001222	Hsf	0	0	0	0
FBgn0001223	Hsp22	0	0	0	0
FBgn0001224	Hsp23	0	0	0	0
FBgn0001225	Hsp26	0	0	0	0
FBgn0001226	Hsp27	0	0	0	0
FBgn0001227	Hsp67Ba	0	0	0	0
FBgn0001228	Hsp67Bb	0	0	0	0
FBgn0001229	Hsp67Bc	0	0	0	0
FBgn0001230	Hsp68	0	0	0	0
FBgn0001233	Hsp83	0	0	0	0
FBgn0001234	Hsromega	0	0	0	0
FBgn0001235	hth	0	0	0	0
FBgn0001247	Ide	0	0	0	0
FBgn0001248	Idh	0	0	0	0
FBgn0001250	if	0	0	0	0
FBgn0001253	ImpE1	0	0	0	0
FBgn0001254	ImpE2	0	0	0	0
FBgn0001255	ImpE3	0	0	0	0
FBgn0001256	ImpL1	0	0	0	0
FBgn0001257	ImpL2	0	0	0	0
FBgn0001258	ImpL3	0	0	0	0
FBgn0001259	in	0	0	0	0
FBgn0001263	inaD	0	0	0	0
FBgn0001269	inv	0	0	0	0
FBgn0001276	ix	0	0	0	0
FBgn0001280	janA	0	0	0	0
FBgn0001281	janB	0	0	0	0
FBgn0001285	Jon44E	0	0	0	0
FBgn0001291	Jra	0	0	0	0
FBgn0001296	kar	0	0	0	0
FBgn0001297	kay	0	0	0	0
FBgn0001301	kel	0	0	0	0
FBgn0001308	Khc	0	0	0	0
FBgn0001311	kkv	0	0	0	0
FBgn0001313	kl-2	0	0	0	0
FBgn0001316	klar	0	0	0	0
FBgn0001319	kn	0	0	0	0
FBgn0001320	kni	0	0	0	0
FBgn0001321	knk	0	0	0	0
FBgn0001323	knrl	0	0	0	0
FBgn0001324	kto	0	0	0	0
FBgn0001325	Kr	0	0	0	0
FBgn0001330	kz	0	0	0	0
FBgn0001332	L	0	0	0	0
FBgn0001341	l(1)1Bi	0	0	0	0
FBgn0001404	egh	0	0	0	0
FBgn0001491	l(1)10Bb	0	0	0	0
FBgn0001565	Hlc	0	0	0	0
FBgn0001612	Grip91	0	0	0	0
FBgn0001624	dlg1	0	0	0	0
FBgn0001941	ifc	0	0	0	0
FBgn0001942	eIF-4a	0	0	0	0
FBgn0001961	Arpc1	0	0	0	0
FBgn0001965	Sos	0	0	0	0
FBgn0001967	NimC3	0	0	0	0
FBgn0001970	Pgant35A	0	0	0	0
FBgn0001974	l(2)35Bd	0	0	0	0
FBgn0001977	CIAPIN1	0	0	0	0
FBgn0001978	stc	0	0	0	0
FBgn0001981	esg	0	0	0	0
FBgn0001983	wor	0	0	0	0
FBgn0001986	l(2)35Df	0	0	0	0
FBgn0001987	Gli	0	0	0	0
FBgn0001989	l(2)35Di	0	0	0	0
FBgn0001990	wek	0	0	0	0
FBgn0001991	Ca-alpha1D	0	0	0	0
FBgn0001992	Cyp303a1	0	0	0	0
FBgn0001994	crp	0	0	0	0
FBgn0001995	mRpL4	0	0	0	0
FBgn0002021	l(2)37Bb	0	0	0	0
FBgn0002022	Catsup	0	0	0	0
FBgn0002023	Lim3	0	0	0	0
FBgn0002031	l(2)37Cc	0	0	0	0
FBgn0002036	CG10561	0	0	0	0
FBgn0002044	swm	0	0	0	0
FBgn0002069	Aats-asp	0	0	0	0
FBgn0002121	l(2)gl	0	0	0	0
FBgn0002174	l(2)tid	0	0	0	0
FBgn0002183	dre4	0	0	0	0
FBgn0002283	l(3)73Ah	0	0	0	0
FBgn0002284	Prosbeta6	0	0	0	0
FBgn0002306	sas	0	0	0	0
FBgn0002354	l(3)87Df	0	0	0	0
FBgn0002413	dco	0	0	0	0
FBgn0002431	hyd	0	0	0	0
FBgn0002440	l(3)mbn	0	0	0	0
FBgn0002441	l(3)mbt	0	0	0	0
FBgn0002466	sti	0	0	0	0
FBgn0002521	pho	0	0	0	0
FBgn0002522	lab	0	0	0	0
FBgn0002524	lace	0	0	0	0
FBgn0002525	Lam	0	0	0	0
FBgn0002526	LanA	0	0	0	0
FBgn0002531	Lcp1	0	0	0	0
FBgn0002533	Lcp2	0	0	0	0
FBgn0002534	Lcp3	0	0	0	0
FBgn0002535	Lcp4	0	0	0	0
FBgn0002542	lds	0	0	0	0
FBgn0002543	lea	0	0	0	0
FBgn0002552	lin	0	0	0	0
FBgn0002561	l(1)sc	0	0	0	0
FBgn0002562	Lsp1alpha	0	0	0	0
FBgn0002563	Lsp1beta	0	0	0	0
FBgn0002564	Lsp1gamma	0	0	0	0
FBgn0002565	Lsp2	0	0	0	0
FBgn0002566	lt	0	0	0	0
FBgn0002567	ltd	0	0	0	0
FBgn0002569	Mal-A2	0	0	0	0
FBgn0002570	Mal-A1	0	0	0	0
FBgn0002571	Mal-A3	0	0	0	0
FBgn0002573	sens	0	0	0	0
FBgn0002576	lz	0	0	0	0
FBgn0002577	m	0	0	0	0
FBgn0002578	Kaz-m1	0	0	0	0
FBgn0002579	RpL36	0	0	0	0
FBgn0002590	RpS5a	0	0	0	0
FBgn0002592	E(spl)m2-BFM	0	0	0	0
FBgn0002593	RpLP1	0	0	0	0
FBgn0002607	RpL19	0	0	0	0
FBgn0002609	E(spl)m3-HLH	0	0	0	0
FBgn0002622	RpS3	0	0	0	0
FBgn0002626	RpL32	0	0	0	0
FBgn0002629	E(spl)m4-BFM	0	0	0	0
FBgn0002631	E(spl)m5-HLH	0	0	0	0
FBgn0002632	E(spl)m6-BFM	0	0	0	0
FBgn0002633	E(spl)m7-HLH	0	0	0	0
FBgn0002638	Rcc1	0	0	0	0
FBgn0002641	mal	0	0	0	0
FBgn0002643	mam	0	0	0	0
FBgn0002645	Map205	0	0	0	0
FBgn0002673	twe	0	0	0	0
FBgn0002707	mei-9	0	0	0	0
FBgn0002709	mei-218	0	0	0	0
FBgn0002715	mei-S332	0	0	0	0
FBgn0002716	mei-W68	0	0	0	0
FBgn0002719	Men	0	0	0	0
FBgn0002723	Met	0	0	0	0
FBgn0002732	E(spl)malpha-BFM	0	0	0	0
FBgn0002733	E(spl)mbeta-HLH	0	0	0	0
FBgn0002734	E(spl)mdelta-HLH	0	0	0	0
FBgn0002735	E(spl)mgamma-HLH	0	0	0	0
FBgn0002736	mago	0	0	0	0
FBgn0002772	Mlc1	0	0	0	0
FBgn0002773	Mlc2	0	0	0	0
FBgn0002774	mle	0	0	0	0
FBgn0002775	msl-3	0	0	0	0
FBgn0002778	mnd	0	0	0	0
FBgn0002780	mod	0	0	0	0
FBgn0002783	mor	0	0	0	0
FBgn0002787	Rpn8	0	0	0	0
FBgn0002789	Mp20	0	0	0	0
FBgn0002791	mr	0	0	0	0
FBgn0002838	ms(3)K81	0	0	0	0
FBgn0002842	sa	0	0	0	0
FBgn0002855	Acp26Aa	0	0	0	0
FBgn0002856	Acp26Ab	0	0	0	0
FBgn0002862	Mst87F	0	0	0	0
FBgn0002863	Acp95EF	0	0	0	0
FBgn0002865	Mst98Ca	0	0	0	0
FBgn0002868	MtnA	0	0	0	0
FBgn0002869	MtnB	0	0	0	0
FBgn0002872	mu2	0	0	0	0
FBgn0002873	mud	0	0	0	0
FBgn0002878	mus101	0	0	0	0
FBgn0002887	mus201	0	0	0	0
FBgn0002891	mus205	0	0	0	0
FBgn0002899	mus301	0	0	0	0
FBgn0002901	mus304	0	0	0	0
FBgn0002905	mus308	0	0	0	0
FBgn0002906	Blm	0	0	0	0
FBgn0002909	mus312	0	0	0	0
FBgn0002914	Myb	0	0	0	0
FBgn0002917	na	0	0	0	0
FBgn0002921	Atpalpha	0	0	0	0
FBgn0002922	nau	0	0	0	0
FBgn0002924	ncd	0	0	0	0
FBgn0002926	ndl	0	0	0	0
FBgn0002930	nec	0	0	0	0
FBgn0002931	net	0	0	0	0
FBgn0002932	neur	0	0	0	0
FBgn0002933	ng1	0	0	0	0
FBgn0002936	ninaA	0	0	0	0
FBgn0002937	ninaB	0	0	0	0
FBgn0002938	ninaC	0	0	0	0
FBgn0002939	ninaD	0	0	0	0
FBgn0002940	ninaE	0	0	0	0
FBgn0002941	slou	0	0	0	0
FBgn0002945	nkd	0	0	0	0
FBgn0002948	nod	0	0	0	0
FBgn0002962	nos	0	0	0	0
FBgn0002973	numb	0	0	0	0
FBgn0002985	odd	0	0	0	0
FBgn0002989	okr	0	0	0	0
FBgn0003002	opa	0	0	0	0
FBgn0003008	or	0	0	0	0
FBgn0003009	ord	0	0	0	0
FBgn0003011	ort	0	0	0	0
FBgn0003015	osk	0	0	0	0
FBgn0003016	osp	0	0	0	0
FBgn0003023	otu	0	0	0	0
FBgn0003028	ovo	0	0	0	0
FBgn0003034	SP	0	0	0	0
FBgn0003041	pbl	0	0	0	0
FBgn0003042	Pc	0	0	0	0
FBgn0003044	Pcl	0	0	0	0
FBgn0003046	Pcp	0	0	0	0
FBgn0003048	pcx	0	0	0	0
FBgn0003053	peb	0	0	0	0
FBgn0003057	CG10598	0	0	0	0
FBgn0003060	CG9757	0	0	0	0
FBgn0003062	Fib	0	0	0	0
FBgn0003065	CG2150	0	0	0	0
FBgn0003067	Pepck	0	0	0	0
FBgn0003068	per	0	0	0	0
FBgn0003071	Pfk	0	0	0	0
FBgn0003074	Pgi	0	0	0	0
FBgn0003076	Pgm	0	0	0	0
FBgn0003079	phl	0	0	0	0
FBgn0003082	phr	0	0	0	0
FBgn0003086	Pig1	0	0	0	0
FBgn0003087	pim	0	0	0	0
FBgn0003089	pip	0	0	0	0
FBgn0003090	pk	0	0	0	0
FBgn0003091	Pkc53E	0	0	0	0
FBgn0003093	Pkc98E	0	0	0	0
FBgn0003114	plu	0	0	0	0
FBgn0003116	pn	0	0	0	0
FBgn0003117	pnr	0	0	0	0
FBgn0003118	pnt	0	0	0	0
FBgn0003124	polo	0	0	0	0
FBgn0003129	Poxm	0	0	0	0
FBgn0003130	Poxn	0	0	0	0
FBgn0003132	Pp1-13C	0	0	0	0
FBgn0003134	Pp1alpha-96A	0	0	0	0
FBgn0003137	Ppn	0	0	0	0
FBgn0003139	PpV	0	0	0	0
FBgn0003140	PpY-55A	0	0	0	0
FBgn0003141	pr	0	0	0	0
FBgn0003145	prd	0	0	0	0
FBgn0003149	Prm	0	0	0	0
FBgn0003159	ptr	0	0	0	0
FBgn0003162	Pu	0	0	0	0
FBgn0003165	pum	0	0	0	0
FBgn0003169	put	0	0	0	0
FBgn0003174	pwn	0	0	0	0
FBgn0003175	px	0	0	0	0
FBgn0003187	qua	0	0	0	0
FBgn0003189	r	0	0	0	0
FBgn0003204	ras	0	0	0	0
FBgn0003205	Ras85D	0	0	0	0
FBgn0003206	Ras64B	0	0	0	0
FBgn0003209	raw	0	0	0	0
FBgn0003210	rb	0	0	0	0
FBgn0003218	rdgB	0	0	0	0
FBgn0003227	rec	0	0	0	0
FBgn0003231	ref(2)P	0	0	0	0
FBgn0003248	Rh2	0	0	0	0
FBgn0003249	Rh3	0	0	0	0
FBgn0003250	Rh4	0	0	0	0
FBgn0003254	rib	0	0	0	0
FBgn0003255	rk	0	0	0	0
FBgn0003256	rl	0	0	0	0
FBgn0003257	r-l	0	0	0	0
FBgn0003261	Rm62	0	0	0	0
FBgn0003267	ro	0	0	0	0
FBgn0003268	rod	0	0	0	0
FBgn0003270	amos	0	0	0	0
FBgn0003274	RpLP2	0	0	0	0
FBgn0003275	RpII18	0	0	0	0
FBgn0003277	RpII215	0	0	0	0
FBgn0003278	RpI135	0	0	0	0
FBgn0003279	RpL4	0	0	0	0
FBgn0003285	rst	0	0	0	0
FBgn0003292	rt	0	0	0	0
FBgn0003295	ru	0	0	0	0
FBgn0003300	run	16429.520637	12046.96046	7056.299961	6138.229158
FBgn0003301	rut	0	0	0	0
FBgn0003302	rux	0	0	0	0
FBgn0003308	ry	0	0	0	0
FBgn0003310	S	0	0	0	0
FBgn0003312	sad	0	0	0	0
FBgn0003313	sala	0	0	0	0
FBgn0003317	sax	0	0	0	0
FBgn0003319	Sb	0	0	0	0
FBgn0003321	sbr	0	0	0	0
FBgn0003326	sca	0	0	0	0
FBgn0003328	scb	0	0	0	0
FBgn0003330	Sce	0	0	0	0
FBgn0003334	Scm	0	0	0	0
FBgn0003339	Scr	0	0	0	0
FBgn0003345	sd	0	0	0	0
FBgn0003346	RanGAP	0	0	0	0
FBgn0003353	sei	0	0	0	0
FBgn0003356	Jon99Cii	0	0	0	0
FBgn0003357	Jon99Ciii	0	0	0	0
FBgn0003358	Jon99Ci	0	0	0	0
FBgn0003360	sesB	0	0	0	0
FBgn0003366	sev	0	0	0	0
FBgn0003371	sgg	0	0	0	0
FBgn0003372	Sgs1	0	0	0	0
FBgn0003373	Sgs3	0	0	0	0
FBgn0003374	Sgs4	0	0	0	0
FBgn0003375	Sgs5	0	0	0	0
FBgn0003377	Sgs7	0	0	0	0
FBgn0003378	Sgs8	0	0	0	0
FBgn0003380	Sh	0	0	0	0
FBgn0003382	sha	0	0	0	0
FBgn0003386	Shaw	0	0	0	0
FBgn0003388	shd	0	0	0	0
FBgn0003390	shf	0	0	0	0
FBgn0003391	shg	0	0	0	0
FBgn0003392	shi	0	0	0	0
FBgn0003396	shn	0	0	0	0
FBgn0003401	shu	0	0	0	0
FBgn0003410	sina	0	0	0	0
FBgn0003411	sisA	0	0	0	0
FBgn0003415	skd	0	0	0	0
FBgn0003416	sl	0	0	0	0
FBgn0003423	slgA	0	0	0	0
FBgn0003429	slo	0	0	0	0
FBgn0003430	slp1	0	0	0	0
FBgn0003435	sm	0	0	0	0
FBgn0003444	smo	0	0	0	0
FBgn0003447	sn	0	0	0	0
FBgn0003448	sna	0	0	0	0
FBgn0003449	snf	0	0	0	0
FBgn0003450	snk	0	0	0	0
FBgn0003459	stwl	0	0	0	0
FBgn0003460	so	0	0	0	0
FBgn0003462	Sod	0	0	0	0
FBgn0003463	sog	0	0	0	0
FBgn0003464	sol	0	0	0	0
FBgn0003475	spir	0	0	0	0
FBgn0003479	spn-A	0	0	0	0
FBgn0003480	spn-B	0	0	0	0
FBgn0003482	spn-D	0	0	0	0
FBgn0003483	spn-E	0	0	0	0
FBgn0003486	spo	0	0	0	0
FBgn0003495	spz	0	0	0	0
FBgn0003499	sr	0	0	0	0
FBgn0003502	Btk29A	0	0	0	0
FBgn0003507	srp	0	0	0	0
FBgn0003510	Sry-alpha	0	0	0	0
FBgn0003511	Sry-beta	0	0	0	0
FBgn0003512	Sry-delta	0	0	0	0
FBgn0003513	ss	0	0	0	0
FBgn0003514	sqh	0	0	0	0
FBgn0003515	st	0	0	0	0
FBgn0003517	sta	0	0	0	0
FBgn0003520	stau	0	0	0	0
FBgn0003525	stg	0	0	0	0
FBgn0003527	stil	0	0	0	0
FBgn0003545	sub	0	0	0	0
FBgn0003557	Su(dx)	0	0	0	0
FBgn0003559	su(f)	0	0	0	0
FBgn0003567	su(Hw)	0	0	0	0
FBgn0003575	su(s)	0	0	0	0
FBgn0003598	Su(var)3-7	0	0	0	0
FBgn0003607	Su(var)205	0	0	0	0
FBgn0003612	Su(var)2-10	0	0	0	0
FBgn0003638	su(w[a])	0	0	0	0
FBgn0003651	svp	0	0	0	0
FBgn0003654	sw	0	0	0	0
FBgn0003655	swa	0	0	0	0
FBgn0003656	sws	0	0	0	0
FBgn0003660	Syb	0	0	0	0
FBgn0003676	T-cp1	0	0	0	0
FBgn0003683	term	0	0	0	0
FBgn0003687	Tbp	0	0	0	0
FBgn0003701	thr	0	0	0	0
FBgn0003710	tipE	0	0	0	0
FBgn0003714	tko	0	0	0	0
FBgn0003716	tkv	0	0	0	0
FBgn0003719	tld	0	0	0	0
FBgn0003720	tll	0	0	0	0
FBgn0003721	Tm1	0	0	0	0
FBgn0003731	Egfr	0	0	0	0
FBgn0003732	Top2	0	0	0	0
FBgn0003733	tor	0	0	0	0
FBgn0003741	tra	0	0	0	0
FBgn0003742	tra2	0	0	0	0
FBgn0003744	trc	0	0	0	0
FBgn0003747	Gr5a	0	0	0	0
FBgn0003748	Treh	0	0	0	0
FBgn0003751	trk	0	0	0	0
FBgn0003861	trp	0	0	0	0
FBgn0003862	trx	0	0	0	0
FBgn0003863	alphaTry	0	0	0	0
