task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	20/51fd4e	31930	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2024-06-12 15:42:02.194	1m 55s	1m 41s	371.6%	640.6 MB	2.5 GB	3.5 GB	1.4 GB
17	5f/23d589	36689	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:43:56.743	3.2s	2s	158.0%	969.1 MB	1.3 GB	641.9 MB	157.4 KB
18	25/17f682	37207	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:43:59.992	3s	2s	211.0%	978.7 MB	1.3 GB	645 MB	157.2 KB
19	d2/d4e245	37718	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:44:02.996	5.1s	4s	146.7%	984.1 MB	1.3 GB	647.1 MB	157.1 KB
20	b9/41b8f2	38284	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:44:08.125	4.8s	3s	147.8%	988.7 MB	1.3 GB	649.7 MB	157.4 KB
21	9d/02d0a5	38943	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:45:21.761	41.8s	35s	107.9%	7.9 GB	10.6 GB	0	0
22	6b/75d89f	41638	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:46:03.558	34.3s	32s	112.3%	7.9 GB	10.6 GB	0	0
23	5a/06c4f5	44244	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:46:37.853	34.4s	33s	118.9%	8 GB	10.6 GB	0	0
24	80/35c58a	46860	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:47:12.300	35.1s	34s	121.1%	7.9 GB	10.6 GB	0	0
25	0f/2060d3	49477	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:47:47.385	5s	1s	300.5%	26.6 MB	5.1 GB	23.3 MB	16.8 MB
33	11/b58261	50171	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:47:53.377	1.4s	0ms	81.8%	6.7 MB	220.9 MB	16.9 MB	30.1 KB
26	d5/5241e8	49864	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:47:52.372	7.7s	6s	148.8%	1.2 GB	1.8 GB	314.9 MB	2 MB
27	b2/c4f7df	51005	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:00.060	1.7s	1s	281.2%	30.6 MB	5 GB	32.2 MB	21.2 MB
35	52/299b74	51657	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:02.740	1.2s	0ms	102.2%	6.6 MB	220.9 MB	21.3 MB	23.9 KB
28	97/096a26	51350	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:01.735	7.7s	7s	187.1%	1.4 GB	1.9 GB	328.2 MB	2 MB
29	9a/fef735	52463	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:09.464	1.4s	0ms	480.6%	34.3 MB	5 GB	35.4 MB	23.2 MB
37	68/55d5c7	53124	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:11.862	1.1s	0ms	136.8%	6.6 MB	220.9 MB	23.3 MB	23.8 KB
30	d1/f963e3	52820	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:10.857	7.7s	7s	198.5%	1.4 GB	1.9 GB	334.2 MB	2 MB
31	36/f5190d	53910	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:18.570	1.9s	1s	264.1%	34 MB	5 GB	36 MB	25.8 MB
39	f3/c2835e	54575	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:21.437	1.5s	0ms	75.8%	6.5 MB	220.9 MB	25.9 MB	24 KB
43	0f/c5ae73	55053	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:48:23.972	2.5s	0ms	40.8%	3.1 MB	5.4 MB	133.5 KB	6.4 KB
48	00/48148c	55064	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:23.981	2.7s	0ms	37.6%	3.2 MB	5.4 MB	127.2 KB	6.4 KB
51	d1/3f4c52	55078	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:23.986	2.9s	0ms	35.4%	3.2 MB	5.4 MB	127.4 KB	6.4 KB
47	e6/aed9a5	55059	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:23.977	3.1s	1s	34.9%	6.7 MB	220.9 MB	23.3 MB	6.8 KB
45	f2/05aa73	56536	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:26.566	2.5s	0ms	62.0%	3.2 MB	5.4 MB	127.3 KB	6.4 KB
44	b8/14f224	56671	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:26.886	2.2s	0ms	54.6%	6.6 MB	220.9 MB	21.3 MB	6.8 KB
41	ad/5f46fa	56710	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:48:27.072	2.1s	0ms	65.5%	6.7 MB	220.9 MB	16.9 MB	6.8 KB
49	a3/6f0fd6	56582	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:26.684	3.4s	0ms	95.6%	6.8 MB	220.9 MB	25.9 MB	6.8 KB
42	73/3356de	58101	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:48:29.127	2.7s	1s	58.1%	7.3 MB	222.4 MB	16.9 MB	100.3 KB
50	6e/8d1167	58036	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:48:29.026	3.3s	1s	56.5%	7.3 MB	222.3 MB	23.3 MB	105.5 KB
52	6f/fabd9d	58146	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:29.208	3.2s	1s	58.3%	7.4 MB	222.4 MB	25.9 MB	108.2 KB
46	a5/e183e9	58958	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:48:30.091	2.6s	1s	87.2%	7.3 MB	222.3 MB	21.3 MB	110.5 KB
32	02/9bd94e	54269	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:48:20.430	13.7s	12s	135.0%	1.4 GB	1.9 GB	335.5 MB	2 MB
53	d2/d45de6	60015	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:TX2GENE (genome.filtered.gtf)	COMPLETED	0	2024-06-12 15:48:35.101	13.5s	9s	98.8%	21.9 MB	26.6 MB	377.1 MB	1 MB
34	1c/bd3b2f	59966	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:48:34.095	40.1s	15s	144.0%	9.1 GB	33.3 GB	51.6 MB	18.1 MB
57	c0/b83d99	62760	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:49:15.237	1.2s	1s	92.2%	3.2 MB	6.2 MB	17.5 MB	30.1 KB
36	0e/d39fb2	62448	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:49:14.227	17.6s	14s	156.8%	9.4 GB	33.4 GB	60.3 MB	22.9 MB
71	a4/aaa3ee	64965	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:49:32.832	1.6s	1s	80.9%	6.7 MB	220.9 MB	22.3 MB	23.9 KB
55	8f/7b303c	62756	NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:49:15.233	27.2s	9s	117.7%	305.1 MB	2.5 GB	858.8 MB	17.6 MB
69	92/d0b51b	64974	NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:49:32.837	11s	10s	112.1%	279.9 MB	2.5 GB	878.1 MB	17.6 MB
38	3e/aac8d6	64538	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:49:31.826	17.4s	15s	152.4%	9.7 GB	33.5 GB	64.4 MB	25.1 MB
83	1f/2faaa1	68770	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:49:50.281	1.5s	0ms	115.0%	6.7 MB	220.9 MB	24.5 MB	23.8 KB
81	15/2ffc10	68776	NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:49:50.286	10.7s	9s	118.8%	278.6 MB	2.5 GB	886.6 MB	17.6 MB
40	32/d2db54	68451	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:49:49.273	15.9s	13s	155.9%	9.5 GB	33.5 GB	69.5 MB	27.4 MB
95	1d/78c259	71433	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:50:06.208	1.8s	0ms	112.9%	6.6 MB	220.9 MB	26.9 MB	24 KB
115	20/4ceb48	72193	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:50:09.008	2.8s	1s	145.5%	6.8 MB	220.9 MB	22.3 MB	6.8 KB
113	cc/fe633d	72194	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:50:09.011	2.8s	0ms	112.3%	3.1 MB	5.4 MB	141.3 KB	6.4 KB
112	8f/806338	72203	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:50:09.015	2.9s	0ms	110.3%	3.1 MB	5.4 MB	141 KB	6.4 KB
107	2d/113d9c	73351	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:50:11.832	1.3s	0ms	92.3%	3.1 MB	5.4 MB	148.6 KB	6.4 KB
114	e1/a3beba	73419	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:50:11.891	1.3s	0ms	125.5%	3.1 MB	5.4 MB	142.1 KB	6.4 KB
116	23/2cacbc	73383	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:50:11.861	1.4s	0ms	146.7%	6.7 MB	220.9 MB	24.5 MB	6.8 KB
117	df/be0ec0	74428	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:50:13.098	1.6s	0ms	145.9%	6.8 MB	220.9 MB	26.9 MB	6.8 KB
111	81/63b9f0	74469	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:50:13.201	1.5s	0ms	143.8%	6.6 MB	220.9 MB	17.5 MB	6.8 KB
118	25/a77fda	74510	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:50:13.295	2s	1s	141.3%	7.6 MB	222.3 MB	26.9 MB	108.2 KB
109	bc/449533	75490	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:50:14.664	1.9s	1s	138.9%	7.5 MB	222.1 MB	22.4 MB	110.5 KB
110	02/369016	75580	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP3)	COMPLETED	0	2024-06-12 15:50:14.733	2s	1s	138.5%	7.5 MB	222.3 MB	24.5 MB	105.5 KB
108	14/c816a3	76033	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:50:15.322	1.7s	0ms	121.5%	7.3 MB	222.4 MB	17.5 MB	100.3 KB
96	20/3be903	71429	NFCORE_RNASEQ:RNASEQ:DUPRADAR (CONTROL_REP2)	COMPLETED	0	2024-06-12 15:50:06.204	11.9s	10s	118.8%	291.4 MB	2.5 GB	896.2 MB	17.6 MB
54	0f/cd9464	71386	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:TXIMPORT	COMPLETED	0	2024-06-12 15:50:05.198	44.9s	15s	103.7%	535 MB	2.6 GB	75.6 MB	7.8 MB
58	eb/a24a0f	78539	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:50:50.051	8.5s	3s	99.2%	258 MB	288.6 MB	0	0
59	1e/081347	79145	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:50:58.602	10.8s	3s	99.0%	81.3 MB	246.5 MB	205.1 MB	44.3 MB
56	eb/131b80	79638	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:51:09.370	48.5s	11s	205.9%	1.4 GB	33.5 GB	238 MB	21.1 MB
60	ae/fb3dd9	81187	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:51:57.837	7.3s	2s	102.5%	60.7 MB	578.5 MB	0	0
126	fa/a4fb19	81750	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:06.154	1s	0ms	90.4%	12.8 MB	17.5 MB	4.7 MB	3.1 KB
67	9a/8701dc	81719	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:05.148	26s	1s	144.3%	20.4 MB	35 MB	34.2 MB	2.6 KB
62	e1/106ea4	82684	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:31.130	3.4s	3s	146.4%	55.9 MB	2.1 GB	40.2 MB	102.8 KB
63	aa/2cef7b	83320	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:34.487	2.5s	1s	238.7%	12.3 MB	17.4 MB	37.7 MB	2.1 KB
65	82/8d2b62	83763	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:37.037	6.5s	6s	134.7%	151.5 MB	2.2 GB	69.1 MB	3 KB
66	55/ced72d	84579	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:43.536	2.9s	2s	279.6%	53.7 MB	2.1 GB	43.7 MB	79.6 KB
64	23/9763bb	85046	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:46.391	5.1s	4s	187.8%	124.1 MB	2.2 GB	47.1 MB	4.6 MB
61	7e/32942a	85662	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (CONTROL_REP4)	COMPLETED	0	2024-06-12 15:52:51.469	2.9s	2s	294.8%	55.7 MB	2.1 GB	43.7 MB	29 KB
70	20/62b14c	86168	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:52:54.406	4.9s	3s	98.3%	226.2 MB	257 MB	0	0
72	05/da8a26	86727	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:52:59.288	14.5s	13s	189.6%	1.4 GB	33.5 GB	250 MB	28.3 MB
73	b8/cca138	88230	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:13.774	4.2s	2s	110.2%	90 MB	578.5 MB	0	0
129	51/145a63	89008	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:18.981	960ms	0ms	105.1%	10.8 MB	17.5 MB	4.7 MB	3.1 KB
68	1f/e6575e	88726	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:17.976	3.9s	3s	99.5%	87.1 MB	143.2 MB	210.1 MB	44.5 MB
75	61/185877	89603	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:21.843	3.6s	3s	219.4%	51.4 MB	2.1 GB	45.1 MB	156.5 KB
79	2f/e27af1	90223	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:25.400	2.7s	1s	224.9%	45.7 MB	2.1 GB	39 MB	2.6 KB
77	ca/f7be0d	90677	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:28.066	6.7s	6s	138.9%	151.5 MB	2.2 GB	73.9 MB	3 KB
74	47/32a73d	91376	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:34.770	3.2s	2s	287.4%	53.9 MB	2.1 GB	48.5 MB	83.8 KB
76	86/d68335	92017	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (CONTROL_REP1)	COMPLETED	0	2024-06-12 15:53:37.925	7.7s	7s	146.7%	132.8 MB	2.2 GB	52 MB	9.2 MB
