Module	Section	Sample Name	Source
QualiMap	rna_coverage_histogram	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP3/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
QualiMap	rna_coverage_histogram	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/qualimap/CONTROL_REP2/raw_data_qualimapReport/coverage_profile_along_genes_(total).txt
RSeQC	read_distribution	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_distribution/CONTROL_REP3.read_distribution.txt
RSeQC	read_distribution	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_distribution/CONTROL_REP1.read_distribution.txt
RSeQC	read_distribution	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_distribution/CONTROL_REP2.read_distribution.txt
RSeQC	read_distribution	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_distribution/CONTROL_REP4.read_distribution.txt
RSeQC	inner_distance	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/inner_distance/CONTROL_REP4.inner_distance_freq.txt
RSeQC	inner_distance	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/inner_distance/CONTROL_REP3.inner_distance_freq.txt
RSeQC	inner_distance	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/inner_distance/CONTROL_REP2.inner_distance_freq.txt
RSeQC	inner_distance	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/inner_distance/CONTROL_REP1.inner_distance_freq.txt
RSeQC	read_duplication	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_duplication/CONTROL_REP4.pos.DupRate.xls
RSeQC	read_duplication	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_duplication/CONTROL_REP1.pos.DupRate.xls
RSeQC	read_duplication	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_duplication/CONTROL_REP2.pos.DupRate.xls
RSeQC	read_duplication	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/read_duplication/CONTROL_REP3.pos.DupRate.xls
RSeQC	junction_annotation	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_annotation/CONTROL_REP2.junction_annotation.log
RSeQC	junction_annotation	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_annotation/CONTROL_REP3.junction_annotation.log
RSeQC	junction_annotation	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_annotation/CONTROL_REP4.junction_annotation.log
RSeQC	junction_annotation	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_annotation/CONTROL_REP1.junction_annotation.log
RSeQC	junction_saturation	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_saturation/CONTROL_REP4.junctionSaturation_plot.r
RSeQC	junction_saturation	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_saturation/CONTROL_REP3.junctionSaturation_plot.r
RSeQC	junction_saturation	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_saturation/CONTROL_REP2.junctionSaturation_plot.r
RSeQC	junction_saturation	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/junction_saturation/CONTROL_REP1.junctionSaturation_plot.r
RSeQC	infer_experiment	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/infer_experiment/CONTROL_REP4.infer_experiment.txt
RSeQC	infer_experiment	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/infer_experiment/CONTROL_REP1.infer_experiment.txt
RSeQC	infer_experiment	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/infer_experiment/CONTROL_REP2.infer_experiment.txt
RSeQC	infer_experiment	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/infer_experiment/CONTROL_REP3.infer_experiment.txt
RSeQC	bam_stat	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/bam_stat/CONTROL_REP3.bam_stat.txt
RSeQC	bam_stat	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/bam_stat/CONTROL_REP1.bam_stat.txt
RSeQC	bam_stat	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/bam_stat/CONTROL_REP4.bam_stat.txt
RSeQC	bam_stat	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/rseqc/bam_stat/CONTROL_REP2.bam_stat.txt
Samtools	stats	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/stats/CONTROL_REP2.markdup.sorted.bam.stats
Samtools	stats	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/stats/CONTROL_REP4.markdup.sorted.bam.stats
Samtools	stats	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/stats/CONTROL_REP1.markdup.sorted.bam.stats
Samtools	stats	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/stats/CONTROL_REP3.markdup.sorted.bam.stats
Samtools	flagstat	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/flagstat/CONTROL_REP1.markdup.sorted.bam.flagstat
Samtools	flagstat	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/flagstat/CONTROL_REP2.markdup.sorted.bam.flagstat
Samtools	flagstat	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/flagstat/CONTROL_REP3.markdup.sorted.bam.flagstat
Samtools	flagstat	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/flagstat/CONTROL_REP4.markdup.sorted.bam.flagstat
Samtools	idxstats	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/idxstats/CONTROL_REP3.markdup.sorted.bam.idxstats
Samtools	idxstats	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/idxstats/CONTROL_REP1.markdup.sorted.bam.idxstats
Samtools	idxstats	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/idxstats/CONTROL_REP2.markdup.sorted.bam.idxstats
Samtools	idxstats	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/samtools/idxstats/CONTROL_REP4.markdup.sorted.bam.idxstats
STAR	SummaryLog	CONTROL_REP2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/star/CONTROL_REP2.Log.final.out
STAR	SummaryLog	CONTROL_REP1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/star/CONTROL_REP1.Log.final.out
STAR	SummaryLog	CONTROL_REP3	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/star/CONTROL_REP3.Log.final.out
STAR	SummaryLog	CONTROL_REP4	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/star/CONTROL_REP4.Log.final.out
FastQC (raw)	all_sections	CONTROL_REP4_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP4_2_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP2_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP2_1_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP1_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP1_1_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP1_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP1_2_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP3_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP3_1_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP4_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP4_1_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP2_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP2_2_fastqc.zip
FastQC (raw)	all_sections	CONTROL_REP3_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/raw/CONTROL_REP3_2_fastqc.zip
Cutadapt	all_sections	CONTROL_REP4_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP4_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP1_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP3_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP1_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP2_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP2_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP2_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP3_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP3_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	CONTROL_REP4_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/trim_log/CONTROL_REP4_2.fastq.gz_trimming_report.txt
FastQC (trimmed)	all_sections	CONTROL_REP3_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP3_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP3_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP3_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP4_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP4_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP2_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP2_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP4_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP4_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP1_1	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP1_1_val_1_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP2_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP2_2_val_2_fastqc.zip
FastQC (trimmed)	all_sections	CONTROL_REP1_2	/workspace/Nextflow-RNA_Sequencing_Pipeline/work/6a/80bff10def16b00d6a78235b245815/fastqc/trim/CONTROL_REP1_2_val_2_fastqc.zip
