ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
FBgn0031256	1488	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262510	501	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031257	2642	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031258	6869	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0027592	2592	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003963	6706	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0043364	3243	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0010602	1864	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031260	1736	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0005660	5407	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031261	1532	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0260933	5772	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031263	853	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031264	3252	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031265	2310	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0021874	1584	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031266	4346	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031267	1232	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031268	1158	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0013323	1128	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0023489	1880	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0010323	2362	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031270	1551	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263657	499	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263658	795	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040106	904	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266032	559	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266033	424	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040107	940	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031273	2549	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266909	324	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0000497	12427	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266323	549	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011244	2203	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026438	3996	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031275	7035	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265825	580	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031276	471	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040725	406	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031277	483	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0041250	2220	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031279	4359	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0000442	2583	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266797	468	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051658	783	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086130	1732	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031281	2416	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031282	2104	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031283	896	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031284	1370	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0015621	1246	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031285	2982	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031286	1533	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0010583	3735	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0020304	4423	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264869	462	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031287	1310	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0020545	1320	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031288	1183	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266884	393	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262177	91	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031289	1073	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0029095	3445	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086031	128	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0020305	1185	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053526	5428	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031292	7072	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002936	871	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266887	598	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002563	2749	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003916	164	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266799	319	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264870	325	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0046113	3004	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0028481	4160	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266036	2917	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031294	10257	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031295	793	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031296	1395	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003310	5206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0015905	2745	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031298	4078	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031299	3115	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0261938	4718	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031301	3266	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031302	1030	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0016926	2497	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031304	2701	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031305	1767	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031306	2707	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0267281	348	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031307	2029	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031308	1628	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031309	999	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031310	999	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0261458	3233	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264267	780	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031312	1272	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031313	2617	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031314	1925	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031315	646	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0024314	2867	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051922	497	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031317	1801	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031318	3424	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031319	3956	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031320	1667	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031321	1566	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031322	2096	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031323	802	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263080	513	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263081	459	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040723	550	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031324	802	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266885	645	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262944	832	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0259229	2477	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031327	2903	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0041097	7413	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011294	776	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031331	1328	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053923	537	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053922	537	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026141	736	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266357	340	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266358	367	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031332	1085	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031333	1091	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051924	819	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031335	942	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051659	695	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053126	1149	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031337	953	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266203	1244	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0002543	6206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266202	1586	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263320	686	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003926	211	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263321	1206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051928	1565	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053128	1387	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051926	1612	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051661	1341	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031343	1828	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031344	1575	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264873	1166	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031345	684	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0001174	616	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264881	354	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026398	1421	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026397	1298	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0261509	6069	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031347	2227	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051935	3058	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031351	1030	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0021906	1118	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265814	7316	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0267259	232	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086758	12618	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011570	1926	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031356	2357	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266311	723	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031357	790	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0086698	3601	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031359	2417	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0000579	3718	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0260648	1031	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031360	1184	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031361	1198	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264494	3552	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0027597	1436	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031364	541	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0041249	1137	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031365	534	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0045497	1170	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0045498	1163	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265138	1152	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0045500	1161	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0045501	1185	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051933	2076	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051664	2075	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031367	882	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262275	115	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051665	5666	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264882	403	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264883	684	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051663	3847	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031372	1230	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264884	819	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031373	1178	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031374	11222	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011859	71	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040719	560	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053673	798	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031375	3291	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051942	73	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031376	1243	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031377	4294	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031378	813	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031379	2130	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0001125	1734	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031381	651	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262148	1374	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0043539	727	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053543	2777	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0263441	2447	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040718	350	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0267276	822	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040717	528	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051943	72	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051944	72	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031384	4668	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051939	72	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051940	72	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051669	72	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011860	71	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0259192	3206	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0259230	857	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0003557	4798	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266836	865	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0028952	2240	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0026396	1209	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053516	3160	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031388	1219	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266043	317	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264864	1006	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031389	1867	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0004507	3144	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031390	5404	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031391	1907	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0027509	3910	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031392	2993	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031393	1038	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0000097	5454	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0265017	3405	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264875	996	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051946	73	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266828	598	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031395	1586	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264874	1082	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0085201	943	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051668	1963	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0053124	2094	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031397	2635	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0010288	1196	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0085203	720	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031398	1285	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0259717	691	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0040715	691	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031399	2956	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031401	2692	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031403	693	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0267378	2585	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264945	794	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262126	4827	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264946	676	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051679	1114	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0052463	1018	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051682	1108	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264979	2182	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0262106	2104	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0011832	845	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0042186	832	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0042187	808	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031406	875	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266022	366	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266023	335	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031407	729	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0054049	967	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0250841	1035	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264084	2875	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264085	1130	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031409	764	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051681	949	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0261523	765	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031410	914	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0028570	510	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0051949	786	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031412	721	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031413	1783	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031414	8481	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0014010	3146	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0261647	4318	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031417	1229	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031418	1364	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031419	929	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0266317	549	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031420	4078	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264672	1869	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031422	1493	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031423	977	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0264081	1112	0	0	NA	0	0	0	0	0	NA	0	0	0
FBgn0031424	6174	0	0	NA	0	0	0	0	0	NA	0	0	0
